espTa2O5,espAl2O3,espSiO,Lambda
1e-07,9.000000000000001e-08,1.0000000000000001e-07,604.83871
1e-07,9.000000000000001e-08,1.0000000000000001e-07,613.49693
1e-07,9.000000000000001e-08,1.1e-07,596.42147
1e-07,9.000000000000001e-08,1.1e-07,604.83871
1e-07,9.000000000000001e-08,1.1e-07,613.49693
1e-07,9.000000000000001e-08,1.2000000000000002e-07,596.42147
1e-07,9.000000000000001e-08,1.2000000000000002e-07,604.83871
1e-07,9.000000000000001e-08,1.2000000000000002e-07,613.49693
1e-07,9.000000000000001e-08,1.3e-07,596.42147
1e-07,9.000000000000001e-08,1.3e-07,604.83871
1e-07,9.000000000000001e-08,1.3e-07,613.49693
1e-07,9.000000000000001e-08,1.4e-07,596.42147
1e-07,9.000000000000001e-08,1.4e-07,604.83871
