espTa2O5,espAl2O3,espSiO,Lambda,R
10.0,20.0,140.0,613.49693,11.248219050208839
10.0,20.0,150.0,596.42147,11.075967844646062
10.0,20.0,150.0,604.83871,11.161056689653813
10.0,20.0,150.0,613.49693,11.24880378282743
10.0,20.0,160.0,596.42147,11.078438014444005
10.0,20.0,160.0,604.83871,11.162615302495102
10.0,20.0,160.0,613.49693,11.249422360894922
10.0,20.0,170.0,596.42147,11.081038477873388
10.0,20.0,170.0,604.83871,11.164256127247693
10.0,20.0,170.0,613.49693,11.250073567039472
10.0,20.0,180.0,596.42147,11.08376415733529
10.0,20.0,180.0,604.83871,11.165975960078717
10.0,20.0,180.0,613.49693,11.250756129732505
10.0,20.0,190.0,596.42147,11.086609775456525
10.0,20.0,190.0,604.83871,11.167771471102864
10.0,20.0,190.0,613.49693,11.2514687274177
10.0,20.0,200.0,596.42147,11.089569872075902
10.0,20.0,200.0,604.83871,11.169639215100442
10.0,20.0,200.0,613.49693,11.25220999276523
10.0,30.0,10.0,596.42147,11.057738399213981
10.0,30.0,10.0,604.83871,11.149554386053058
10.0,30.0,10.0,613.49693,11.244238782706677
10.0,30.0,20.0,596.42147,11.057997602907276
10.0,30.0,20.0,604.83871,11.14971793655128
10.0,30.0,20.0,613.49693,11.24430369172292
10.0,30.0,30.0,596.42147,11.058429009681335
10.0,30.0,30.0,604.83871,11.149990142729088
10.0,30.0,30.0,613.49693,11.244411723742243
10.0,30.0,40.0,596.42147,11.059031721808605
10.0,30.0,40.0,604.83871,11.150370438144146
10.0,30.0,40.0,613.49693,11.244562653957656
10.0,30.0,50.0,596.42147,11.059804486831737
10.0,30.0,50.0,604.83871,11.150858032529074
10.0,30.0,50.0,613.49693,11.244756168730586
10.0,30.0,60.0,596.42147,11.060745701900613
10.0,30.0,60.0,604.83871,11.151451914527565
10.0,30.0,60.0,613.49693,11.244991866677573
10.0,30.0,70.0,596.42147,11.061853419311936
10.0,30.0,70.0,604.83871,11.15215085519009
10.0,30.0,70.0,613.49693,11.24526926005701
10.0,30.0,80.0,596.42147,11.063125353224892
10.0,30.0,80.0,604.83871,11.152953412210866
10.0,30.0,80.0,613.49693,11.24558777645122
10.0,30.0,90.0,596.42147,11.064558887520827
10.0,30.0,90.0,604.83871,11.153857934887444
10.0,30.0,90.0,613.49693,11.245946760734197
10.0,30.0,100.0,596.42147,11.066151084768379
10.0,30.0,100.0,604.83871,11.154862569777546
10.0,30.0,100.0,613.49693,11.246345477317508
10.0,30.0,110.0,596.42147,11.067898696252335
10.0,30.0,110.0,604.83871,11.155965267026469
10.0,30.0,110.0,613.49693,11.24678311266046
10.0,30.0,120.0,596.42147,11.069798173016252
10.0,30.0,120.0,604.83871,11.157163787335323
10.0,30.0,120.0,613.49693,11.247258778036551
10.0,30.0,130.0,596.42147,11.071845677868383
10.0,30.0,130.0,604.83871,11.158455709536115
10.0,30.0,130.0,613.49693,11.247771512539385
10.0,30.0,140.0,596.42147,11.074037098293273
10.0,30.0,140.0,604.83871,11.159838438738843
10.0,30.0,140.0,613.49693,11.248320286316048
10.0,30.0,150.0,596.42147,11.076368060207546
10.0,30.0,150.0,604.83871,11.161309215010604
10.0,30.0,150.0,613.49693,11.248904004011965
10.0,30.0,160.0,596.42147,11.078833942496757
10.0,30.0,160.0,604.83871,11.162865122548697
10.0,30.0,160.0,613.49693,11.24952150841104
10.0,30.0,170.0,596.42147,11.08142989226488
10.0,30.0,170.0,604.83871,11.164503099301774
10.0,30.0,170.0,613.49693,11.250171584254566
10.0,30.0,180.0,596.42147,11.084150840726355
10.0,30.0,180.0,604.83871,11.166219946997984
10.0,30.0,180.0,613.49693,11.250852962220803
10.0,30.0,190.0,596.42147,11.086991519667848
10.0,30.0,190.0,604.83871,11.168012341531826
10.0,30.0,190.0,613.49693,11.25156432304735
10.0,30.0,200.0,596.42147,11.089946478405556
10.0,30.0,200.0,604.83871,11.169876843663356
10.0,30.0,200.0,613.49693,11.252304301777661
10.0,40.0,10.0,596.42147,11.058342788933379
10.0,40.0,10.0,604.83871,11.149935739979664
10.0,40.0,10.0,613.49693,11.244390133012367
10.0,40.0,20.0,596.42147,11.05860136298014
10.0,40.0,20.0,604.83871,11.15009889318833
10.0,40.0,20.0,613.49693,11.244454884355067
10.0,40.0,30.0,596.42147,11.059031721799212
10.0,40.0,30.0,604.83871,11.150370438135015
10.0,40.0,30.0,613.49693,11.244562653948753
10.0,40.0,40.0,596.42147,11.059632969843854
10.0,40.0,40.0,604.83871,11.150749809753433
10.0,40.0,40.0,613.49693,11.244713217532418
10.0,40.0,50.0,596.42147,11.060403857699207
10.0,40.0,50.0,604.83871,11.151236219695878
10.0,40.0,50.0,613.49693,11.244906262229522
10.0,40.0,60.0,596.42147,11.061342786408606
10.0,40.0,60.0,604.83871,11.151828659062756
10.0,40.0,60.0,613.49693,11.245141387631486
10.0,40.0,70.0,596.42147,11.062447813000002
10.0,40.0,70.0,604.83871,11.15252590188981
10.0,40.0,70.0,613.49693,11.245418107181594
10.0,40.0,80.0,596.42147,11.063716657185315
10.0,40.0,80.0,604.83871,11.153326509374848
10.0,40.0,80.0,613.49693,11.245735849852537
10.0,40.0,90.0,596.42147,11.065146709200839
10.0,40.0,90.0,604.83871,11.154228834825402
10.0,40.0,90.0,613.49693,11.246093962110077
10.0,40.0,100.0,596.42147,11.066735038750817
10.0,40.0,100.0,604.83871,11.155231029301214
10.0,40.0,100.0,613.49693,11.24649171015195
10.0,40.0,110.0,596.42147,11.068478405011456
10.0,40.0,110.0,604.83871,11.156331047927207
10.0,40.0,110.0,613.49693,11.246928282414355
10.0,40.0,120.0,596.42147,11.070373267647419
10.0,40.0,120.0,604.83871,11.157526656843995
10.0,40.0,120.0,613.49693,11.247402792329243
10.0,40.0,130.0,596.42147,11.072415798788116
10.0,40.0,130.0,604.83871,11.158815440765096
10.0,40.0,130.0,613.49693,11.24791428132452
10.0,40.0,140.0,596.42147,11.074601895907984
10.0,40.0,140.0,604.83871,11.160194811103725
10.0,40.0,140.0,613.49693,11.24846172204892
10.0,40.0,150.0,596.42147,11.076927195548885
10.0,40.0,150.0,604.83871,11.16166201463153
10.0,40.0,150.0,613.49693,11.249044021808611
10.0,40.0,160.0,596.42147,11.07938708782208
10.0,40.0,160.0,604.83871,11.163214142628425
10.0,40.0,160.0,613.49693,11.24966002619865
10.0,40.0,170.0,596.42147,11.081976731619712
10.0,40.0,170.0,604.83871,11.164848140481507
10.0,40.0,170.0,613.49693,11.250308522912347
10.0,40.0,180.0,596.42147,11.08469107046924
10.0,40.0,180.0,604.83871,11.166560817687964
10.0,40.0,180.0,613.49693,11.25098824571117
10.0,40.0,190.0,596.42147,11.08752484895458
10.0,40.0,190.0,604.83871,11.168348858217003
10.0,40.0,190.0,613.49693,11.251697878537668
10.0,40.0,200.0,596.42147,11.090472629632599
10.0,40.0,200.0,604.83871,11.170208831183222
10.0,40.0,200.0,613.49693,11.252436059750744
10.0,50.0,10.0,596.42147,11.059117704877478
10.0,50.0,10.0,604.83871,11.150424691533907
10.0,50.0,10.0,613.49693,11.244584186405623
10.0,50.0,20.0,596.42147,11.059375471625287
10.0,50.0,20.0,604.83871,11.150587335359223
10.0,50.0,20.0,613.49693,11.244648735587507
10.0,50.0,30.0,596.42147,11.059804486813071
10.0,50.0,30.0,604.83871,11.150858032510897
10.0,50.0,30.0,613.49693,11.244756168712875
10.0,50.0,40.0,596.42147,11.06040385768988
10.0,50.0,40.0,604.83871,11.151236219686798
10.0,50.0,40.0,613.49693,11.244906262220663
10.0,50.0,50.0,596.42147,11.061172338741644
10.0,50.0,50.0,604.83871,11.151721111000565
10.0,50.0,50.0,613.49693,11.24509870421122
10.0,50.0,60.0,596.42147,11.062108336004032
10.0,50.0,60.0,604.83871,11.152311700702493
10.0,50.0,60.0,613.49693,11.245333095526165
10.0,50.0,70.0,596.42147,11.0632099125711
10.0,50.0,70.0,604.83871,11.153006766655935
10.0,50.0,70.0,613.49693,11.245608951127803
10.0,50.0,80.0,596.42147,11.064474795274158
10.0,50.0,80.0,604.83871,11.153804874550929
10.0,50.0,80.0,613.49693,11.245925701771652
10.0,50.0,90.0,596.42147,11.065900382497341
10.0,50.0,90.0,604.83871,11.154704382835911
10.0,50.0,90.0,613.49693,11.246282695963666
10.0,50.0,100.0,596.42147,11.06748375309373
10.0,50.0,100.0,604.83871,11.155703448343539
10.0,50.0,100.0,613.49693,11.24667920219307
10.0,50.0,110.0,596.42147,11.069221676357754
10.0,50.0,110.0,604.83871,11.156800032582865
10.0,50.0,110.0,613.49693,11.247114411429381
10.0,50.0,120.0,596.42147,11.071110623007359
10.0,50.0,120.0,604.83871,11.157991908668908
10.0,50.0,120.0,613.49693,11.247587439872781
10.0,50.0,130.0,596.42147,11.073146777123121
10.0,50.0,130.0,604.83871,11.159276668856037
10.0,50.0,130.0,613.49693,11.248097331943846
10.0,50.0,140.0,596.42147,11.075326048987947
10.0,50.0,140.0,604.83871,11.160651732639355
10.0,50.0,140.0,613.49693,11.248643063498857
10.0,50.0,150.0,596.42147,11.077644088767094
10.0,50.0,150.0,604.83871,11.162114355386247
10.0,50.0,150.0,613.49693,11.249223545255504
10.0,50.0,160.0,596.42147,11.08009630096427
10.0,50.0,160.0,604.83871,11.16366163745819
10.0,50.0,160.0,613.49693,11.249837626412896
10.0,50.0,170.0,596.42147,11.08267785958627
10.0,50.0,170.0,604.83871,11.165290533779087
10.0,50.0,170.0,613.49693,11.250484098449343
10.0,50.0,180.0,596.42147,11.085383723947283
10.0,50.0,180.0,604.83871,11.166997863807193
10.0,50.0,180.0,613.49693,11.251161699079812
10.0,50.0,190.0,596.42147,11.088208655039502
10.0,50.0,190.0,604.83871,11.168780321864826
10.0,50.0,190.0,613.49693,11.25186911635551
10.0,50.0,200.0,596.42147,11.091147232395906
10.0,50.0,200.0,604.83871,11.17063448777804
10.0,50.0,200.0,613.49693,11.252604992886619
10.0,60.0,10.0,596.42147,11.060061539734873
10.0,60.0,10.0,604.83871,11.151020226544656
10.0,60.0,10.0,613.49693,11.244820540385604
10.0,60.0,20.0,596.42147,11.060318323205813
10.0,60.0,20.0,604.83871,11.151182249949317
10.0,60.0,20.0,613.49693,11.244884843338978
10.0,60.0,30.0,596.42147,11.060745701872708
10.0,60.0,30.0,604.83871,11.151451914500361
10.0,60.0,30.0,613.49693,11.24499186665112
10.0,60.0,40.0,596.42147,11.061342786390039
10.0,60.0,40.0,604.83871,11.15182865904468
10.0,60.0,40.0,613.49693,11.245141387613877
10.0,60.0,50.0,596.42147,11.062108335994823
10.0,60.0,50.0,604.83871,11.152311700693518
10.0,60.0,50.0,613.49693,11.2453330955174
10.0,60.0,60.0,596.42147,11.063040762803075
10.0,60.0,60.0,604.83871,11.152900037533804
10.0,60.0,60.0,613.49693,11.245566592725822
10.0,60.0,70.0,596.42147,11.064138137297297
10.0,60.0,70.0,604.83871,11.153592452090807
10.0,60.0,70.0,613.49693,11.245841396051766
10.0,60.0,80.0,596.42147,11.065398194980073
10.0,60.0,80.0,604.83871,11.154387515525851
10.0,60.0,80.0,613.49693,11.246156938422212
10.0,60.0,90.0,596.42147,11.06681834415971
10.0,60.0,90.0,604.83871,11.15528359254925
10.0,60.0,90.0,613.49693,11.246512570828225
10.0,60.0,100.0,596.42147,11.068395674832296
10.0,60.0,100.0,604.83871,11.15627884702462
10.0,60.0,100.0,613.49693,11.246907564549424
10.0,60.0,110.0,596.42147,11.070126968616098
10.0,60.0,110.0,604.83871,11.157371248237027
10.0,60.0,110.0,613.49693,11.247341113641472
10.0,60.0,120.0,596.42147,11.072008709691728
10.0,60.0,120.0,604.83871,11.15855857779618
10.0,60.0,120.0,613.49693,11.247812337675898
10.0,60.0,130.0,596.42147,11.074037096696214
10.0,60.0,130.0,604.83871,11.159838437141048
10.0,60.0,130.0,613.49693,11.248320284718384
10.0,60.0,140.0,596.42147,11.076208055512826
10.0,60.0,140.0,604.83871,11.161208255610184
10.0,60.0,140.0,613.49693,11.24886393453193
10.0,60.0,150.0,596.42147,11.078517252899923
10.0,60.0,150.0,604.83871,11.162665299040816
10.0,60.0,150.0,613.49693,11.249442201989405
10.0,60.0,160.0,596.42147,11.080960110890981
10.0,60.0,160.0,604.83871,11.16420667885524
10.0,60.0,160.0,613.49693,11.250053940679704
10.0,60.0,170.0,596.42147,11.083531821902145
10.0,60.0,170.0,604.83871,11.165829361593222
10.0,60.0,170.0,613.49693,11.250697946691187
10.0,60.0,180.0,596.42147,11.08622736447587
10.0,60.0,180.0,604.83871,11.167530178845391
10.0,60.0,180.0,613.49693,11.251372962553901
10.0,60.0,190.0,596.42147,11.08904151958892
10.0,60.0,190.0,604.83871,11.169305837543899
10.0,60.0,190.0,613.49693,11.252077681323634
10.0,60.0,200.0,596.42147,11.09196888745125
10.0,60.0,200.0,604.83871,11.171152930561568
10.0,60.0,200.0,613.49693,11.25281075078843
10.0,70.0,10.0,596.42147,11.06117234038073
10.0,70.0,10.0,604.83871,11.151721112641498
10.0,70.0,10.0,613.49693,11.245098705853295
10.0,70.0,20.0,596.42147,11.061427966631898
10.0,70.0,20.0,604.83871,11.151882405872085
10.0,70.0,20.0,613.49693,11.245162719019715
10.0,70.0,30.0,596.42147,11.06185341927489
10.0,70.0,30.0,604.83871,11.15215085515401
10.0,70.0,30.0,613.49693,11.245269260021905
10.0,70.0,40.0,596.42147,11.062447812972295
10.0,70.0,40.0,604.83871,11.152525901862775
10.0,70.0,40.0,613.49693,11.245418107155333
10.0,70.0,50.0,596.42147,11.063209912552693
10.0,70.0,50.0,604.83871,11.153006766638017
10.0,70.0,50.0,613.49693,11.245608951110341
10.0,70.0,60.0,596.42147,11.064138137288094
10.0,70.0,60.0,604.83871,11.153592452081837
10.0,70.0,60.0,613.49693,11.24584139604309
10.0,70.0,70.0,596.42147,11.06523056635667
10.0,70.0,70.0,604.83871,11.154281746206134
10.0,70.0,70.0,613.49693,11.246114960943709
10.0,70.0,80.0,596.42147,11.0664849454659
10.0,70.0,80.0,604.83871,11.15507322661139
10.0,70.0,80.0,613.49693,11.24642908129469
10.0,70.0,90.0,596.42147,11.067898694604079
10.0,70.0,90.0,604.83871,11.155965265377667
10.0,70.0,90.0,613.49693,11.24678311101207
10.0,70.0,100.0,596.42147,11.069468916881355
10.0,70.0,100.0,604.83871,11.156956034643132
10.0,70.0,100.0,613.49693,11.247176324659346
10.0,70.0,110.0,596.42147,11.07119240841995
10.0,70.0,110.0,604.83871,11.158043512844548
10.0,70.0,110.0,613.49693,11.247607919924349
10.0,70.0,120.0,596.42147,11.073065669245
10.0,70.0,120.0,604.83871,11.159225491589073
10.0,70.0,120.0,613.49693,11.248077020346262
10.0,70.0,130.0,596.42147,11.075084915124542
10.0,70.0,130.0,604.83871,11.16049958312489
10.0,70.0,130.0,613.49693,11.24858267828077
10.0,70.0,140.0,596.42147,11.077246090302477
10.0,70.0,140.0,604.83871,11.161863228375474
10.0,70.0,140.0,613.49693,11.249123878088655
10.0,70.0,150.0,596.42147,11.079544881065152
10.0,70.0,150.0,604.83871,11.163313705499984
10.0,70.0,150.0,613.49693,11.249699539533049
10.0,70.0,160.0,596.42147,11.08197673007717
10.0,70.0,160.0,604.83871,11.164848138938263
10.0,70.0,160.0,613.49693,11.250308521369211
10.0,70.0,170.0,596.42147,11.084536851420554
10.0,70.0,170.0,604.83871,11.166463508900584
10.0,70.0,170.0,613.49693,11.250949625111048
10.0,70.0,180.0,596.42147,11.087220246267403
10.0,70.0,180.0,604.83871,11.168156661256475
10.0,70.0,180.0,613.49693,11.251621598955417
10.0,70.0,190.0,596.42147,11.09002171911454
10.0,70.0,190.0,604.83871,11.169924317778523
10.0,70.0,190.0,613.49693,11.252323141848091
10.0,70.0,200.0,596.42147,11.092935894506565
10.0,70.0,200.0,604.83871,11.171763086694074
10.0,70.0,200.0,613.49693,11.253052907670977
10.0,80.0,10.0,596.42147,11.062447814612064
10.0,80.0,10.0,604.83871,11.152525903504168
10.0,80.0,10.0,613.49693,11.245418108797594
10.0,80.0,20.0,596.42147,11.062702112088147
10.0,80.0,20.0,604.83871,11.152686358314167
10.0,80.0,20.0,613.49693,11.245481789216786
10.0,80.0,30.0,596.42147,11.063125353178814
10.0,80.0,30.0,604.83871,11.152953412165983
10.0,80.0,30.0,613.49693,11.245587776407541
10.0,80.0,40.0,596.42147,11.063716657148593
10.0,80.0,40.0,604.83871,11.153326509339035
10.0,80.0,40.0,613.49693,11.245735849817693
10.0,80.0,50.0,596.42147,11.064474795246687
10.0,80.0,50.0,604.83871,11.153804874524166
10.0,80.0,50.0,613.49693,11.24592570174557
10.0,80.0,60.0,596.42147,11.065398194961812
10.0,80.0,60.0,604.83871,11.154387515508043
10.0,80.0,60.0,613.49693,11.246156938404923
10.0,80.0,70.0,596.42147,11.06648494545682
10.0,80.0,70.0,604.83871,11.155073226602541
10.0,80.0,70.0,613.49693,11.246429081286108
10.0,80.0,80.0,596.42147,11.067732804157481
10.0,80.0,80.0,604.83871,11.155860592802174
10.0,80.0,80.0,613.49693,11.246741568806115
10.0,80.0,90.0,596.42147,11.069139204463028
10.0,80.0,90.0,604.83871,11.156747994648798
10.0,80.0,90.0,613.49693,11.247093758239393
10.0,80.0,100.0,596.42147,11.070701264542077
10.0,80.0,100.0,604.83871,11.157733613782284
10.0,80.0,100.0,613.49693,11.247484927920327
10.0,80.0,110.0,596.42147,11.072415797171018
10.0,80.0,110.0,604.83871,11.15881543914754
10.0,80.0,110.0,613.49693,11.24791427970732
10.0,80.0,120.0,596.42147,11.074279320568214
10.0,80.0,120.0,604.83871,11.159991273831277
10.0,80.0,120.0,613.49693,11.248380941695364
10.0,80.0,130.0,596.42147,11.076288070172513
10.0,80.0,130.0,604.83871,11.16125874249345
10.0,80.0,130.0,613.49693,11.248883971166212
10.0,80.0,140.0,596.42147,11.078438011310254
10.0,80.0,140.0,604.83871,11.162615299360036
10.0,80.0,140.0,613.49693,11.249422357760023
10.0,80.0,150.0,596.42147,11.080724852690945
10.0,80.0,150.0,604.83871,11.164058236738457
10.0,80.0,150.0,613.49693,11.249995026855066
10.0,80.0,160.0,596.42147,11.083144060668639
10.0,80.0,160.0,604.83871,11.165584694016097
10.0,80.0,160.0,613.49693,11.250600843138908
10.0,80.0,170.0,596.42147,11.085690874203234
10.0,80.0,170.0,604.83871,11.167191667100536
10.0,80.0,170.0,613.49693,11.251238614355431
10.0,80.0,180.0,596.42147,11.088360320451262
10.0,80.0,180.0,604.83871,11.168876018256698
10.0,80.0,180.0,613.49693,11.251907095208376
10.0,80.0,190.0,596.42147,11.091147230916379
10.0,80.0,190.0,604.83871,11.170634486297882
10.0,80.0,190.0,613.49693,11.252604991406571
10.0,80.0,200.0,596.42147,11.094046258085433
10.0,80.0,200.0,604.83871,11.172463697082161
10.0,80.0,200.0,613.49693,11.253330963829127
10.0,90.0,10.0,596.42147,11.063885339028307
10.0,90.0,10.0,604.83871,11.153432943835849
10.0,90.0,10.0,613.49693,11.245778092269264
10.0,90.0,20.0,596.42147,11.064138138907321
10.0,90.0,20.0,604.83871,11.153592453702954
10.0,90.0,20.0,613.49693,11.245841397665304
10.0,90.0,30.0,596.42147,11.064558887465864
10.0,90.0,30.0,604.83871,11.15385793483389
10.0,90.0,30.0,613.49693,11.245946760682147
10.0,90.0,40.0,596.42147,11.065146709155204
10.0,90.0,40.0,604.83871,11.154228834780863
10.0,90.0,40.0,613.49693,11.246093962066796
10.0,90.0,50.0,596.42147,11.065900382460944
10.0,90.0,50.0,604.83871,11.15470438280044
10.0,90.0,50.0,613.49693,11.246282695929136
10.0,90.0,60.0,596.42147,11.066818344132507
10.0,90.0,60.0,604.83871,11.15528359252273
10.0,90.0,60.0,613.49693,11.246512570802462
10.0,90.0,70.0,596.42147,11.06789869458602
10.0,90.0,70.0,604.83871,11.155965265360095
10.0,90.0,70.0,613.49693,11.246783110994956
10.0,90.0,80.0,596.42147,11.069139204454071
10.0,90.0,80.0,604.83871,11.156747994640064
10.0,90.0,80.0,613.49693,11.247093758230877
10.0,90.0,90.0,596.42147,11.070537322250981
10.0,90.0,90.0,604.83871,11.157630170441955
10.0,90.0,90.0,613.49693,11.247443873569724
10.0,90.0,100.0,596.42147,11.072090183116908
10.0,90.0,100.0,604.83871,11.15860998511407
10.0,90.0,100.0,613.49693,11.247832739596051
10.0,90.0,110.0,596.42147,11.073794618598404
10.0,90.0,110.0,604.83871,11.159685439444853
10.0,90.0,110.0,613.49693,11.248259562868325
10.0,90.0,120.0,596.42147,11.075647167418479
10.0,90.0,120.0,604.83871,11.16085434945881
10.0,90.0,120.0,613.49693,11.248723476616687
10.0,90.0,130.0,596.42147,11.07764408718616
10.0,90.0,130.0,604.83871,11.162114353804853
10.0,90.0,130.0,613.49693,11.24922354367438
10.0,90.0,140.0,596.42147,11.079781366988486
10.0,90.0,140.0,604.83871,11.163462921701163
10.0,90.0,140.0,613.49693,11.249758759631826
10.0,90.0,150.0,596.42147,11.082054740807017
10.0,90.0,150.0,604.83871,11.16489736140137
10.0,90.0,150.0,613.49693,11.250328056195935
10.0,90.0,160.0,596.42147,11.084459701695348
10.0,90.0,160.0,604.83871,11.166414829139429
10.0,90.0,160.0,613.49693,11.250930304740297
10.0,90.0,170.0,596.42147,11.086991516651597
10.0,90.0,170.0,604.83871,11.168012338514302
10.0,90.0,170.0,613.49693,11.25156432003006
10.0,90.0,180.0,596.42147,11.08964524211837
10.0,90.0,180.0,604.83871,11.16968677026976
10.0,90.0,180.0,613.49693,11.252228864102872
10.0,90.0,190.0,596.42147,11.092415740037346
10.0,90.0,190.0,604.83871,11.171434882424524
10.0,90.0,190.0,613.49693,11.252922650289573
10.0,90.0,200.0,596.42147,11.095297694387607
10.0,90.0,200.0,604.83871,11.17325332070761
10.0,90.0,200.0,613.49693,11.253644347355824
10.0,100.0,10.0,596.42147,11.065481968022304
10.0,100.0,10.0,604.83871,11.154440375035097
10.0,100.0,10.0,613.49693,11.24617791863219
10.0,100.0,20.0,596.42147,11.065733104550757
10.0,100.0,20.0,604.83871,11.154598835373509
10.0,100.0,20.0,613.49693,11.246240807497559
10.0,100.0,30.0,596.42147,11.066151084704739
10.0,100.0,30.0,604.83871,11.154862569715482
10.0,100.0,30.0,613.49693,11.246345477257094
10.0,100.0,40.0,596.42147,11.066735038696422
10.0,100.0,40.0,604.83871,11.155231029248126
10.0,100.0,40.0,613.49693,11.246491710100358
10.0,100.0,50.0,596.42147,11.067483753048496
10.0,100.0,50.0,604.83871,11.155703448299462
10.0,100.0,50.0,613.49693,11.246679202150204
10.0,100.0,60.0,596.42147,11.068395674796257
10.0,100.0,60.0,604.83871,11.156278846989496
